Number,Gender,GivenName,MiddleInitial,Surname,StreetAddress,EmailAddress,Username,TelephoneNumber,Birthday,NationalID,BloodType
1,female,Sigurlína,K,Sigtryggsdóttir,Merkigerði 18,SigurlinaSigtryggsdottir@fleckens.hu,Slied1951,475 2472,12/12/1951,,O+
2,male,Skafti,R,Hermanníusson,Thingvallastraeti 59,SkaftiHermanniusson@gustr.com,Estinabot,432 6800,5/5/1972,,B+
3,male,Ásmundur,E,Arnkelsson,Sidumula 10,AsmundurArnkelsson@cuvox.de,Actily60,430 8185,10/6/1960,,O+
4,male,Bragi,G,Karlsson,Holmatun 86,BragiKarlsson@gustr.com,Upoods55,468 4370,2/8/1955,,O+
5,male,Margeir,L,Arthursson,Brekkugata 72,MargeirArthursson@fleckens.hu,Barbence,473 6625,5/19/1994,,A+
6,female,Eva,F,Þorgrímsdóttir,Hafnarstraeti 69,Evaorgrimsdottir@armyspy.com,Butrackill,478 3339,8/3/1963,,O-
7,female,María,J,Sverrisdóttir,Þingvallastræti 94,MariaSverrisdottir@superrito.com,Witilen,463 6256,5/21/1964,,B+
8,female,Vaka,H,Aðalbjörnsdóttir,Melum 28,VakaAalbjornsdottir@armyspy.com,Pasioned,451 1180,2/12/1952,,O+
9,female,Katrin,F,Angantýsdóttir,Merkigerði 74,KatrinAngantysdottir@teleworm.us,Hiverced,474 1083,8/16/1931,,O-
10,female,Ólafía,R,Valtýsdóttir,Sorlaskeid 98,OlafiaValtysdottir@einrot.com,Jobill,414 0636,5/15/1982,,A-
11,male,Kristján,Á,Karlsson,Kirkjubraut 90,KristjanKarlsson@cuvox.de,Muctlandly,484 2478,12/15/1958,,A+
12,female,Auður,V,Guðgeirsdóttir,Skogarlond 22,AuurGugeirsdottir@rhyta.com,Confled,410 9187,7/2/1981,,A+
13,female,Laufey,S,Pálsdóttir,Grundargötu 44,LaufeyPalsdottir@armyspy.com,Twounwhe,412 3940,12/20/1939,,O+
14,female,Krista,Þ,Gunnlaugsdóttir,Breidamork 23,KristaGunnlaugsdottir@dayrep.com,Flifirthere76,411 6758,7/6/1976,,A+
15,male,Örn,S,Björgmundsson,Drangahrauni 44,OrnBjorgmundsson@superrito.com,Lany1955,477 2659,11/21/1955,,O+
16,female,Ösp,Þ,Sigmarsdóttir,Hafnarstraeti 87,OspSigmarsdottir@teleworm.us,Witua1954,482 3526,6/12/1954,,O+
17,female,Sigurbjört,R,Þorkelsdóttir,Bjarkarstígur 19,Sigurbjortorkelsdottir@gustr.com,Butaked,444 0145,8/1/1947,,A+
18,female,Halldóra,G,Óskarsdóttir,Sunnubraut 83,HalldoraOskarsdottir@cuvox.de,Gerfulty,470 7931,9/9/1945,,A+
19,female,Edda,E,Guðnadóttir,Midvangur 1,EddaGunadottir@jourrapide.com,Ounce1976,482 9653,5/3/1976,,B+
20,male,Sólveig,S,Þrastarson,Laugarvegur 2,Solveigrastarson@teleworm.us,Donve1964,469 1076,3/20/1964,,B+
21,male,Ásgrímur,L,Björgvinsson,Austvaðsholti 17,AsgrimurBjorgvinsson@superrito.com,Thurely,463 2462,4/5/1952,,B+
22,female,Loftveig,B,Guðgeirsdóttir,Brekkustíg 26,LoftveigGugeirsdottir@armyspy.com,Harosed,416 5898,1/26/1972,,A+
